Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details
Dadap Fujiati,320094183589450000,Medan,29/09/1999,Buruh,Rp 1.000.000,7,1,2,0,2,2,1000000,25,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Yance Aryanti,320051527504732000,Manokwari,11/08/1958,Karyawan,Rp 2.000.000,9,1,3,2,2,1,2000000,66,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Eman Irawan,320024529036247000,Pontianak,15/02/1960,Petani,Rp 1.500.000,8,0,2,1,2,2,1500000,65,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Alim Wastuti,320023334057645000,Jayapura,10/09/1995,Buruh,Rp 500.000,7,0,1,2,1,2,500000,29,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Raayu Sudiati,320082647212918000,Palu,06/12/1988,Tidak Bekerja,Rp 0,7,0,2,2,0,2,0,36,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Joko Utasoit.,320079149785068000,Sorong,16/11/1955,Karyawan,Rp 1.000.000,7,1,3,2,1,0,1000000,69,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Sutan Mursinin Nasiruddin,320048378329216000,Makassar,13/12/1956,Buruh,Rp 2.000.000,8,1,2,1,2,2,2000000,68,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Karta Laksmiwati,320098931434765000,Makassar,18/01/1985,Wiraswasta,Rp 500.000,9,0,3,2,2,2,500000,40,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Eka Utama,320077349993907000,Jayapura,16/01/1962,Buruh,Rp 1.000.000,7,0,3,2,0,1,1000000,63,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Adika Prakasa,320012642532979000,Lampung,17/11/1997,Petani,Rp 2.000.000,4,0,2,0,1,1,2000000,27,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Edi Purwanti,320041861544454000,Makassar,03/05/1967,Petani,Rp 1.500.000,9,1,3,1,2,1,1500000,58,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Nurul Palastri,320050147812030000,Depok,12/05/1976,Tidak Bekerja,Rp 0,8,1,1,2,1,2,0,49,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Paulin Budiman,320032511094960000,Malang,11/09/1988,Petani,Rp 1.000.000,7,0,2,2,2,1,1000000,36,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Rangga Yulianti,320099609870774000,Yogyakarta,25/08/1978,Petani,Rp 2.000.000,7,0,2,2,2,0,2000000,46,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Wardaya Siotang.,320046254165743000,Surabaya,13/02/1955,Karyawan,Rp 1.000.000,9,0,3,1,2,2,1000000,70,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Restu Adriansya,320004932012745000,Sorong,05/10/1963,Buruh,Rp 1.000.000,8,0,2,2,2,1,1000000,61,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Sutan Jayadi Irawan,320018041417160000,Sorong,30/08/1967,Wiraswasta,Rp 500.000,6,0,2,2,0,2,500000,57,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Ani Pertiwi,320081448287419000,Manokwari,15/03/1985,Tidak Bekerja,Rp 0,6,0,3,2,1,0,0,40,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Agnes Zulkarnain,320022064815138000,Padang,07/10/1955,Karyawan,Rp 500.000,8,1,1,2,1,2,500000,69,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Jessica Siombing,320044211441762000,Semarang,22/07/1974,Karyawan,Rp 2.000.000,7,1,3,0,2,1,2000000,50,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Arjaya Mandala,320040582576477000,Semarang,18/02/2000,Wiraswasta,Rp 2.000.000,6,0,3,2,1,0,2000000,25,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Puti Melinda Oktaviani,320078126744538000,Semarang,20/07/1957,Buruh,Rp 2.000.000,6,0,3,0,1,1,2000000,67,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Dian Pranowo,320043560562937000,Depok,13/10/1964,Petani,Rp 500.000,7,0,3,0,2,1,500000,60,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Maida Uwais,320063851334287000,Manado,11/09/1996,Buruh,Rp 1.500.000,8,0,2,2,2,2,1500000,28,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Rina Utama,320019965127675000,Malang,27/01/1984,Buruh,Rp 329.000,8,1,2,1,2,1,329000,41,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Gina Jailani.,320020702177952000,Palembang,01/11/1960,Buruh,Rp 1.000.000,9,1,3,1,2,1,1000000,64,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Wirda Siregar,320094498846694000,Balikpapan,13/07/1959,Karyawan,Rp 2.000.000,6,0,1,2,2,1,2000000,65,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Sabrina Narpati,320030818841329000,Merauke,20/09/1971,Buruh,Rp 1.500.000,7,0,3,0,2,2,1500000,53,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ika Setiawan,320065240680643000,Gorontalo,27/01/1970,Karyawan,Rp 2.300.000,8,0,3,0,2,2,2300000,55,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ira Winarno,320023258433442000,Depok,22/11/1998,Wiraswasta,Rp 500.000,10,1,2,2,2,2,500000,26,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Asna Maryati,320069357830436000,Semarang,29/07/1959,Petani,Rp 500.000,7,0,3,0,2,1,500000,65,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Pangeran Lazuardi,320019705412087000,Makassar,02/12/1990,Tidak Bekerja,Rp 0,7,0,2,1,1,2,0,34,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Vera Nurdiyanti,320002982360009000,Balikpapan,08/09/1981,Tidak Bekerja,Rp 0,7,1,3,0,2,1,0,43,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Mala Maendra,320029032296800000,Semarang,28/08/1957,Buruh,Rp 1.500.000,8,1,3,2,1,1,1500000,67,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Ika Fujiati,320004014810853000,Kendari,10/02/1977,Wiraswasta,Rp 1.000.000,7,1,0,2,2,2,1000000,48,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Cindy Susanti,320010227712157000,Merauke,23/12/1979,Wiraswasta,Rp 1.000.000,6,0,2,0,1,2,1000000,45,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Jayadi Nurdiyanti,320005534813300000,Semarang,18/01/1992,Buruh,Rp 1.000.000,6,0,2,0,2,1,1000000,33,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Legawa Permadi,320050735767251000,Lampung,03/07/1967,Wiraswasta,Rp 1.000.000,7,1,2,2,1,1,1000000,58,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Mnrima Suartini,320078328765266000,Manokwari,08/06/1965,Wiraswasta,Rp 1.500.000,3,0,0,0,1,2,1500000,60,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Amalia Laksmiwati,320045984187504000,Semarang,09/10/1993,Petani,Rp 500.000,9,1,2,2,1,2,500000,31,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Arsanto Januar,320022505036585000,Pontianak,12/11/1969,Petani,Rp 1.000.000,7,0,0,2,2,2,1000000,55,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Marsito Mangunsong,320085230359257000,Manado,20/04/1984,Petani,Rp 1.500.000,3,0,0,2,0,1,1500000,41,"P1,P2,P4,P5",4,"Score: 4/6 - P1,P2,P4,P5"
Safina Putra,320099409048745000,Palembang,21/12/1990,Tidak Bekerja,Rp 0,6,1,2,0,1,2,0,34,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Jasmin Pradipta,320077403889945000,Surabaya,04/01/1968,Wiraswasta,Rp 1.000.000,7,1,2,1,2,1,1000000,57,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Martani Dongoran,320077008216183000,Jambi,30/06/1996,Petani,Rp 2.000.000,8,1,3,1,1,2,2000000,29,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Endra Wulandari.,320057178375065000,Yogyakarta,21/06/1959,Karyawan,Rp 800.000,7,0,2,2,2,1,800000,66,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Sabrina Saragi,320035649572331000,Samarinda,26/11/1970,Buruh,Rp 900.000,8,1,3,0,2,1,900000,54,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ajiman Nugroo,320049837061632000,Pontianak,27/03/1981,Petani,Rp 500.000,7,0,1,2,2,1,500000,44,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Jarwa Pratiwi,320065869937573000,Kendari,04/03/1960,Petani,Rp 500.000,10,1,3,2,2,1,500000,65,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Gambira Farida,320052370281350000,Medan,02/05/1982,Tidak Bekerja,Rp 0,8,0,3,2,0,2,0,43,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Jagapati Wibowo,320006039973669000,Pontianak,08/07/1984,Wiraswasta,Rp 500.000,5,0,2,2,0,1,500000,40,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Dian Mardiya,320015352384530000,Manokwari,09/09/1971,Tidak Bekerja,Rp 0,5,1,0,2,1,1,0,53,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Irwan Maendra,320008966202404000,Palembang,21/01/1986,Buruh,Rp 500.000,5,0,2,1,1,1,500000,39,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Pandu Purnawati,320010583527179000,Padang,12/01/1958,Tidak Bekerja,Rp 0,7,0,3,0,2,2,0,67,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Tgkbakiono Prasetya,320054422436190000,Lampung,25/06/1989,Buruh,Rp 1.500.000,9,0,3,2,1,2,1500000,36,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Puti Ika Ariya,320010370991564000,Bandung,21/03/1988,Wiraswasta,Rp 500.000,9,1,2,2,2,1,500000,37,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Ari Idayanto,320010133994098000,Palembang,10/12/1973,Petani,Rp 1.500.000,6,0,3,0,1,1,1500000,51,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Irnanto Andayani,320033670142312000,Pontianak,13/04/1966,Petani,Rp 1.500.000,6,1,2,2,0,1,1500000,59,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Fitria Abibi,320072065235688000,Bengkulu,25/06/1993,Tidak Bekerja,Rp 0,8,1,3,2,1,0,0,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Aurora Budiman,320014410422014000,Samarinda,08/12/1976,Karyawan,Rp 1.500.000,6,0,2,0,2,2,1500000,48,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Amima Firmansya,320063973054937000,Banjarmasin,27/10/1983,Tidak Bekerja,Rp 0,7,1,2,0,2,2,0,41,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ella Simbolon,320011678823410000,Pontianak,11/11/1972,Tidak Bekerja,Rp 0,7,1,1,2,1,1,0,52,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
