Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur
Galar Puspasari,320070358013272000,Bengkulu,16/12/1997,Wiraswasta,Rp 2.000.000,6,0,3,1,0,2,2000000,27
Rmila Budiman,320036131171910000,Bandung,17/02/1977,Wiraswasta,Rp 1.500.000,8,1,2,2,1,1,1500000,48
Intan Simanjuntak,320038104559598000,Padang,29/11/1995,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,29
Agnes Yuniar,320097102985501000,Pontianak,18/07/1984,Tidak Bekerja,Rp 0,5,1,0,2,2,0,0,40
Vera Marpaung,320063098633819000,Bogor,02/03/1987,Wiraswasta,Rp 1.000.000,6,1,0,0,2,2,1000000,38
Zalindra Laksmiwati,320026082571625000,Samarinda,25/03/1970,Buruh,Rp 1.000.000,3,0,0,0,1,1,1000000,55
Janet Salaudin,320073976245891000,Lampung,22/07/1956,Wiraswasta,Rp 1.500.000,8,0,2,1,2,2,1500000,68
Limar Sinaga,320069482551820000,Jambi,16/01/1963,Karyawan,Rp 2.000.000,5,1,1,1,1,0,2000000,62
Irfan Sudiati,320037950626292000,Palembang,19/09/1978,Wiraswasta,Rp 2.000.000,9,1,3,2,0,2,2000000,46
Bakiman Idayat,320047865644556000,Pekanbaru,10/08/1988,Petani,Rp 2.000.000,7,1,3,2,0,1,2000000,36
Nilam Ardiansya,320089746017145000,Malang,07/08/1980,Buruh,Rp 1.500.000,5,1,0,2,1,1,1500000,44
Lalita Firmansya,320015005478644000,Manokwari,27/06/1974,Buruh,Rp 2.000.000,9,0,2,2,2,2,2000000,51
Marwata Narpati,320005204195151000,Pekanbaru,20/06/1955,Karyawan,Rp 500.000,3,1,0,0,1,1,500000,70
Taufan Wacana,320032212447260000,Malang,10/10/1972,Petani,Rp 1.000.000,5,0,2,1,0,1,1000000,52
Tina Melani,320033618992366000,Surabaya,18/12/1984,Petani,Rp 2.000.000,5,1,3,0,0,1,2000000,40
Zizi Anggraini,320026061451687000,Banjarmasin,08/08/1998,Buruh,Rp 2.000.000,7,1,3,2,0,1,2000000,26
Jono Nasyia,320018674081859000,Gorontalo,13/01/1965,Buruh,Rp 1.000.000,5,1,3,0,0,1,1000000,60
Gani Kusumo,320018015085831000,Bogor,25/06/1986,Karyawan,Rp 2.000.000,8,1,3,1,2,1,2000000,39
Dia Natsir,320085198176006000,Gorontalo,19/12/1975,Tidak Bekerja,Rp 0,5,1,1,1,0,2,0,49
Klukman Siotang,320046961586697000,Jambi,19/04/1963,Wiraswasta,Rp 500.000,6,1,1,2,2,0,500000,62
Ida Firgantoro,320076697842774000,Palu,26/01/1978,Karyawan,Rp 2.000.000,6,0,1,0,2,2,2000000,47
Jasmin Gunawan,320085557367285000,Surabaya,14/06/1992,Karyawan,Rp 1.500.000,8,1,3,2,1,0,1500000,33
Jarwi Permadi,320001590280479000,Surabaya,04/01/1961,Petani,Rp 1.500.000,8,1,2,1,2,1,1500000,64
Elvina Nurdiyanti,320056445144421000,Medan,01/07/1964,Petani,Rp 2.000.000,7,0,3,0,1,2,2000000,61
Gabriella Marpaung,320052065074672000,Balikpapan,28/04/1955,Buruh,Rp 2.000.000,6,0,3,0,0,2,2000000,70
Tgkirsad Mansur,320007491610661000,Palembang,30/05/1956,Tidak Bekerja,Rp 0,6,0,3,2,0,0,0,69
Puput Nasiruddin,320047399860691000,Bogor,04/08/1961,Buruh,Rp 1.500.000,3,0,0,1,0,2,1500000,63
Karima Tamrin,320073772097214000,Kendari,12/05/1986,Buruh,Rp 1.000.000,6,0,3,0,2,1,1000000,39
Padmi Santoso,320065018859733000,Bogor,05/06/1992,Tidak Bekerja,Rp 0,4,0,2,1,1,0,0,33
Fara Ardiansya,320026019567702000,Pontianak,07/08/1963,Buruh,Rp 500.000,2,0,1,0,0,0,500000,61
Lalita Wayudin,320068276368964000,Jambi,08/04/1987,Karyawan,Rp 1.500.000,6,0,3,2,1,0,1500000,38
Karima Budiman,320010747793356000,Balikpapan,07/07/1972,Wiraswasta,Rp 1.500.000,5,0,1,2,1,1,1500000,52
Luung Andriani,320071384585105000,Banjarmasin,06/06/1984,Wiraswasta,Rp 1.000.000,4,0,0,2,1,1,1000000,41
Yoga Kusumo,320098789827837000,Pekanbaru,13/08/1957,Tidak Bekerja,Rp 0,6,0,3,1,1,1,0,67
Paris Artati,320057532489833000,Kendari,09/10/1963,Wiraswasta,Rp 2.000.000,5,1,0,2,2,0,2000000,61
Kamila Sudiati,320058269193425000,Manokwari,08/08/1977,Buruh,Rp 1.500.000,0,0,0,0,0,0,1500000,47
Janet Safitri,320047016799814000,Gorontalo,19/02/1995,Karyawan,Rp 1.000.000,5,1,2,0,2,0,1000000,30
Tgkpurwanto Siombing,320077303751288000,Semarang,17/12/1974,Petani,Rp 1.000.000,3,1,1,0,1,0,1000000,50
Capa Abibi,320041790272481000,Gorontalo,13/09/1985,Wiraswasta,Rp 2.000.000,3,0,0,2,0,1,2000000,39
Sara Maulana,320026292311532000,Palu,16/02/1986,Buruh,Rp 500.000,2,0,0,0,1,0,500000,39
Puti Mala Suwarno,320089512914542000,Jambi,22/01/1974,Karyawan,Rp 2.000.000,3,0,1,1,1,0,2000000,51
Jamalia Mandasari,320006488436291000,Medan,24/12/1984,Petani,Rp 500.000,7,1,2,0,2,1,500000,40
Ari Raayu,320098227040594000,Jambi,25/03/1989,Wiraswasta,Rp 500.000,8,1,3,1,2,1,500000,36
Nilam Pradipta,320052052720780000,Bogor,12/11/1959,Tidak Bekerja,Rp 0,9,1,2,2,2,1,0,65
Aswani Prastuti,320086312170141000,Palangka Raya,17/04/1979,Tidak Bekerja,Rp 0,3,0,1,0,1,1,0,46
Aslijan Waluyo.,320067022293209000,Manokwari,10/06/1968,Karyawan,Rp 500.000,2,0,1,0,0,0,500000,57
Elma Nainggolan,320047821617434000,Semarang,03/02/1967,Karyawan,Rp 1.000.000,3,0,0,1,1,1,1000000,58
Bajragin Tamba,320025703355735000,Yogyakarta,05/05/1967,Petani,Rp 2.000.000,6,1,1,1,2,1,2000000,58
Jamil Rajata,320039489174458000,Manado,13/06/1963,Petani,Rp 1.500.000,6,0,2,0,2,2,1500000,62
Putri Wastuti,320074143139011000,Gorontalo,29/06/1979,Petani,Rp 1.500.000,4,0,1,2,0,0,1500000,46
Tgkpia Kuswoyo,320073987068397000,Bogor,11/09/1991,Buruh,Rp 1.000.000,5,0,1,2,2,0,1000000,33
Yoga Maeswara,320003815077097000,Lampung,07/03/1960,Tidak Bekerja,Rp 0,5,1,1,1,1,1,0,65
Cut Ica Irawan,320009712581131000,Yogyakarta,10/12/1963,Tidak Bekerja,Rp 0,3,0,2,0,0,0,0,61
Talia Winarsi,320020292586470000,Yogyakarta,25/06/1962,Petani,Rp 1.000.000,10,1,3,2,2,2,1000000,63
Cakrajiya Nasiruddin,320056915826046000,Malang,05/10/1980,Petani,Rp 1.000.000,7,0,2,2,1,2,1000000,44
Rafi Januar,320010723329491000,Merauke,19/01/1993,Petani,Rp 500.000,7,1,2,2,2,0,500000,32
Jarwi Saputra,320073972455378000,Bogor,27/09/1978,Buruh,Rp 1.500.000,8,0,3,1,1,2,1500000,46
Bakidin Nugroo,320073724872764000,Malang,11/02/1999,Tidak Bekerja,Rp 0,6,1,0,2,1,2,0,26
Jaswadi Siregar,320021042945101000,Gorontalo,04/10/1977,Petani,Rp 500.000,7,1,2,1,0,2,500000,47
Jayadi Laksita,320052317926102000,Pontianak,13/03/1996,Tidak Bekerja,Rp 0,8,1,2,1,2,1,0,29
Uli Yulianti,320089936119834000,Bengkulu,29/04/1966,Buruh,Rp 1.500.000,5,0,0,1,2,1,1500000,59
Kalim Najmudin,320034143186495000,Jayapura,23/03/1959,Wiraswasta,Rp 2.000.000,4,0,1,2,1,0,2000000,66
Tgkgina Anggriawan,320009899715395000,Gorontalo,23/05/1985,Petani,Rp 2.000.000,7,1,2,1,0,2,2000000,40
Samia Raayu,320041302623817000,Bandung,14/04/1999,Tidak Bekerja,Rp 0,7,0,3,1,2,1,0,26
Gadu Yuliarti,320006737971951000,Samarinda,17/04/1986,Karyawan,Rp 1.500.000,5,0,0,2,1,1,1500000,39
Zamira Marbun,320005324322005000,Manokwari,13/12/1966,Tidak Bekerja,Rp 0,3,1,0,0,0,1,0,58
Sutan Gamanto Suartini,320016836317245000,Jambi,11/06/1969,Karyawan,Rp 2.000.000,8,0,3,1,2,2,2000000,56
Madinata Susanti,320036587593986000,Palembang,08/10/1996,Wiraswasta,Rp 2.000.000,5,0,2,2,1,0,2000000,28
Cici Zulkarnain,320094413246557000,Balikpapan,20/08/1971,Petani,Rp 2.000.000,3,1,0,0,2,0,2000000,53
Eko Siotang,320097367174081000,Semarang,14/09/1996,Tidak Bekerja,Rp 0,9,1,3,2,2,1,0,28
Tami Tamba,320047285414594000,Kendari,11/02/1970,Tidak Bekerja,Rp 0,6,1,1,2,2,0,0,55
Ciaobella Mardiya,320079167997856000,Palembang,14/03/1962,Buruh,Rp 500.000,6,1,3,0,1,0,500000,63
Vivi Siregar,320099451139783000,Palu,08/11/1971,Petani,Rp 1.500.000,8,1,2,1,1,2,1500000,53
Suci Mustofa,320064242256225000,Bogor,15/04/1964,Buruh,Rp 1.000.000,5,0,1,1,1,2,1000000,61
Gasti Kusmawati,320017806209677000,Bandung,23/05/1972,Karyawan,Rp 2.000.000,7,0,1,1,2,2,2000000,53
Kayun Situmorang,320049154497313000,Pekanbaru,03/02/1962,Petani,Rp 500.000,3,1,1,0,0,1,500000,63
Dinda Salaudin,320080203365735000,Jayapura,18/02/1993,Petani,Rp 500.000,6,1,0,0,2,2,500000,32
Karja Kuswoyo,320049501660732000,Pekanbaru,07/04/1976,Buruh,Rp 2.000.000,4,1,1,0,1,0,2000000,49
Tami Wibowo,320085051640622000,Palembang,05/07/1969,Karyawan,Rp 1.000.000,7,1,3,0,0,2,1000000,56
Rusman Putra,320075771278198000,Bandung,02/09/1991,Karyawan,Rp 1.500.000,3,1,2,0,0,0,1500000,33
Janet Uwais,320075137391278000,Bandung,30/05/1999,Karyawan,Rp 2.000.000,8,0,2,2,2,2,2000000,26
Kasirwanda Lestari,320061313751321000,Yogyakarta,09/07/1970,Buruh,Rp 1.000.000,7,0,3,1,2,1,1000000,54
Cakrawala Waskita,320049314732416000,Samarinda,15/06/1984,Buruh,Rp 1.500.000,6,1,3,2,0,0,1500000,41
Janet Aryanto,320069808312731000,Jayapura,15/09/1993,Petani,Rp 1.500.000,9,1,3,1,2,1,1500000,31
Tari Puspita,320034505129760000,Banjarmasin,11/01/1994,Wiraswasta,Rp 1.000.000,5,1,0,2,2,0,1000000,31
Nilam Damanik,320011903689477000,Manado,18/08/1968,Buruh,Rp 1.000.000,6,1,2,2,1,0,1000000,56
Ade Wacana,320038151996945000,Medan,10/02/1974,Petani,Rp 2.000.000,9,1,3,2,1,2,2000000,51
Ellis Manullang,320097385095785000,Sorong,17/09/1980,Wiraswasta,Rp 1.000.000,2,0,0,0,0,2,1000000,44
Safina Salaudin,320000742144477000,Pekanbaru,27/03/1982,Wiraswasta,Rp 1.500.000,5,1,0,2,0,2,1500000,43
Tami Suryono,320023492662587000,Malang,12/11/1955,Wiraswasta,Rp 2.000.000,8,1,2,1,1,2,2000000,69
Ardi Agustina,320050792397084000,Kendari,18/03/1987,Karyawan,Rp 1.500.000,3,0,0,1,1,0,1500000,38
Julia Lailasari,320081073029039000,Lampung,30/05/1962,Tidak Bekerja,Rp 0,7,0,2,1,2,1,0,63
Keisa Sinaga,320040079097432000,Medan,04/01/1993,Wiraswasta,Rp 2.000.000,9,1,3,2,2,0,2000000,32
Lanjar Andayani,320029643684560000,Balikpapan,27/03/1972,Tidak Bekerja,Rp 0,3,1,0,0,2,0,0,53
Puti Puspa Nasiruddin,320071485914213000,Samarinda,03/04/1996,Karyawan,Rp 500.000,4,0,0,0,2,1,500000,29
Damar Marbun,320025662061025000,Yogyakarta,25/04/1995,Petani,Rp 2.000.000,4,0,1,0,1,1,2000000,30
Sutan Viktor Simanjuntak,320010449019578000,Yogyakarta,09/07/1957,Tidak Bekerja,Rp 0,5,1,0,1,0,2,0,67
Tgkcinta Anggriawan,320029548426078000,Pontianak,05/04/1957,Petani,Rp 2.000.000,0,0,0,0,0,0,2000000,68
Fara Siombing,320028422513659000,Pekanbaru,08/08/1956,Karyawan,Rp 1.000.000,9,1,2,1,2,2,1000000,68
Ratna Widodo,320008981648392000,Kendari,30/06/1964,Tidak Bekerja,Rp 0,5,0,3,0,0,2,0,61
Mujur Astuti,320084288356733000,Balikpapan,24/06/2000,Wiraswasta,Rp 1.500.000,6,0,3,0,1,1,1500000,25
Melinda Siombing,320026737271174000,Bengkulu,17/12/1975,Wiraswasta,Rp 500.000,6,1,1,2,1,1,500000,49
Qori Gunarto,320092745330928000,Jayapura,13/02/1994,Tidak Bekerja,Rp 0,1,0,1,0,0,0,0,31
Paiman Anggriawan,320084054616430000,Lampung,08/11/1999,Petani,Rp 1.500.000,5,1,0,1,0,2,1500000,25
Eka Sitorus,320034903101227000,Padang,12/07/1973,Wiraswasta,Rp 500.000,7,1,1,1,2,2,500000,51
Yusuf Simanjuntak,320071061269023000,Jayapura,11/09/1973,Tidak Bekerja,Rp 0,6,1,2,1,0,2,0,51
Rrini Mayasari,320029437733187000,Makassar,17/12/1962,Petani,Rp 1.500.000,5,1,3,0,1,0,1500000,62
Kasim Widodo,320059055169685000,Manado,23/07/1967,Karyawan,Rp 2.000.000,10,1,3,1,2,2,2000000,57
Cut Gina Putra,320093795398310000,Manokwari,16/04/1968,Karyawan,Rp 1.500.000,4,0,2,2,0,0,1500000,57
Sabrina Adriansya,320080929455756000,Pekanbaru,30/09/1991,Tidak Bekerja,Rp 0,9,0,3,1,2,2,0,33
Kprayoga Tampubolon,320092777206498000,Jayapura,11/02/1957,Tidak Bekerja,Rp 0,6,0,3,2,0,1,0,68
Irfan Waskita,320016736632150000,Bogor,04/05/2000,Karyawan,Rp 2.000.000,6,1,2,2,1,0,2000000,25
Darmana Pangestu,320038281231656000,Pekanbaru,01/10/1997,Wiraswasta,Rp 2.000.000,5,0,1,1,2,1,2000000,27
Silvia Nurdiyanti,320006563833983000,Yogyakarta,21/03/1956,Karyawan,Rp 2.000.000,2,0,1,0,0,1,2000000,69
Puspa Siotang,320090594089543000,Palembang,12/04/1963,Karyawan,Rp 1.000.000,4,1,0,0,0,2,1000000,62
Ulya Winarno,320009142614080000,Bandung,23/11/1982,Wiraswasta,Rp 500.000,4,1,0,2,0,0,500000,42
Mariadi Oktaviani,320068801430657000,Samarinda,02/09/1973,Wiraswasta,Rp 500.000,8,1,3,2,0,1,500000,51
Arsanto Artati,320040617920222000,Manado,06/01/1973,Wiraswasta,Rp 2.000.000,2,0,1,1,0,0,2000000,52
Umar Megantara,320072651023115000,Bandung,05/10/1996,Karyawan,Rp 2.000.000,9,0,2,2,2,2,2000000,28
Alika Susanti,320092009858704000,Lampung,12/04/1988,Karyawan,Rp 500.000,2,1,0,1,0,0,500000,37
Balidin Yolanda,320098937701799000,Banjarmasin,06/04/1978,Tidak Bekerja,Rp 0,8,1,3,0,1,2,0,47
Ayu Abibi,320026307319345000,Gorontalo,10/02/1960,Wiraswasta,Rp 500.000,8,1,2,2,2,0,500000,65
Ida Usama,320068607340050000,Medan,22/07/1955,Wiraswasta,Rp 1.200.000,6,1,0,1,2,1,1200000,69
Puti Rati Ardianto,320066817399783000,Kendari,05/12/1968,Buruh,Rp 2.000.000,3,0,1,0,1,1,2000000,56
Dadap Fujiati,320094183589450000,Medan,29/09/1999,Buruh,Rp 1.000.000,7,1,2,0,2,2,1000000,25
Yance Aryanti,320051527504732000,Manokwari,11/08/1958,Karyawan,Rp 2.000.000,9,1,3,2,2,1,2000000,66
Eman Irawan,320024529036247000,Pontianak,15/02/1960,Petani,Rp 1.500.000,8,0,2,1,2,2,1500000,65
Najib Saragi,320044198140495000,Padang,22/01/1992,Buruh,Rp 1.200.000,5,1,1,1,1,0,1200000,33
Laswi Wasita,320088057220428000,Palangka Raya,18/01/1957,Karyawan,Rp 1.200.000,4,0,0,2,1,0,1200000,68
Karya Damanik,320025256290361000,Malang,29/01/1975,Tidak Bekerja,Rp 0,6,0,1,1,2,1,0,50
Lala Maryati,320016605991285000,Pekanbaru,16/11/1955,Buruh,Rp 2.000.000,6,0,3,2,0,0,2000000,69
Almira Usada,320030355829814000,Samarinda,01/10/1967,Tidak Bekerja,Rp 0,6,1,0,2,2,0,0,57
Kamidin Santoso,320099866018964000,Jayapura,22/04/1955,Tidak Bekerja,Rp 0,5,1,1,0,1,2,0,70
Diana Fujiati,320027393762364000,Surabaya,07/05/1960,Karyawan,Rp 1.500.000,7,1,0,1,2,2,1500000,65
Alim Wastuti,320023334057645000,Jayapura,10/09/1995,Buruh,Rp 500.000,7,0,1,2,1,2,500000,29
Jagaraga Akim,320022088612800000,Banjarmasin,09/04/1987,Tidak Bekerja,Rp 0,4,1,2,1,0,0,0,38
Raayu Sudiati,320082647212918000,Palu,06/12/1988,Tidak Bekerja,Rp 0,7,0,2,2,0,2,0,36
Joko Utasoit.,320079149785068000,Sorong,16/11/1955,Karyawan,Rp 1.000.000,7,1,3,2,1,0,1000000,69
Sutan Mursinin Nasiruddin,320048378329216000,Makassar,13/12/1956,Buruh,Rp 2.000.000,8,1,2,1,2,2,2000000,68
Cayono Widiastuti,320065489093315000,Semarang,16/08/1973,Wiraswasta,Rp 1.800.000,6,1,1,0,2,2,1800000,51
Salima Abibi,320027774846301000,Balikpapan,14/02/1976,Buruh,Rp 1.200.000,5,1,1,0,2,1,1200000,49
Karta Laksmiwati,320098931434765000,Makassar,18/01/1985,Wiraswasta,Rp 500.000,9,0,3,2,2,2,500000,40
Eka Utama,320077349993907000,Jayapura,16/01/1962,Buruh,Rp 1.000.000,7,0,3,2,0,1,1000000,63
Adika Prakasa,320012642532979000,Lampung,17/11/1997,Petani,Rp 2.000.000,4,0,2,0,1,1,2000000,27
Vivi Usada,320035867762587000,Manado,02/03/1967,Tidak Bekerja,Rp 0,8,1,3,1,0,2,0,58
Zizi Januar,320098775891305000,Balikpapan,02/03/1987,Buruh,Rp 1.500.000,6,1,1,1,1,1,1500000,38
Sutan Jono Nasyia,320014766954672000,Bengkulu,01/04/1967,Tidak Bekerja,Rp 0,3,1,0,0,1,0,0,58
Tomi Januar,320096574258357000,Pekanbaru,21/06/1999,Petani,Rp 2.000.000,4,0,0,1,1,1,2000000,26
Edi Purwanti,320041861544454000,Makassar,03/05/1967,Petani,Rp 1.500.000,9,1,3,1,2,1,1500000,58
Patricia Mangunsong,320092730757789000,Bogor,03/04/1964,Karyawan,Rp 3.000.000,3,0,0,1,1,0,3000000,61
Galur Andriani,320022079495686000,Kendari,10/08/1987,Buruh,Rp 500.000,4,1,1,0,1,0,500000,37
Farunnisa Utasoit,320006499168722000,Padang,09/09/1981,Buruh,Rp 1.000.000,5,0,3,1,1,0,1000000,43
Kani Ardianto,320039052198796000,Palangka Raya,26/06/1992,Tidak Bekerja,Rp 0,5,1,1,2,0,1,0,33
Sutan Daliono Prakasa,320014838604833000,Padang,08/11/1967,Petani,Rp 1.000.000,3,1,1,0,0,1,1000000,57
Nurul Palastri,320050147812030000,Depok,12/05/1976,Tidak Bekerja,Rp 0,8,1,1,2,1,2,0,49
Sari Suryatmi,320084488443524000,Bengkulu,18/12/1987,Petani,Rp 500.000,4,0,1,1,1,1,500000,37
Paulin Budiman,320032511094960000,Malang,11/09/1988,Petani,Rp 1.000.000,7,0,2,2,2,1,1000000,36
Ika Budiman,320016771377441000,Sorong,13/01/1967,Karyawan,Rp 1.500.000,5,0,3,2,0,0,1500000,58
Tedi Mandasari,320060256043779000,Bekasi,16/04/1987,Petani,Rp 500.000,4,1,0,2,0,1,500000,38
Rangga Yulianti,320099609870774000,Yogyakarta,25/08/1978,Petani,Rp 2.000.000,7,0,2,2,2,0,2000000,46
Paiman Uwais,320077134244031000,Palangka Raya,18/04/1973,Karyawan,Rp 1.500.000,3,0,1,0,0,2,1500000,52
Laswi Lestari,320057447383702000,Padang,28/02/1957,Tidak Bekerja,Rp 0,7,1,0,1,2,2,0,68
Wardaya Siotang.,320046254165743000,Surabaya,13/02/1955,Karyawan,Rp 1.000.000,9,0,3,1,2,2,1000000,70
Tgkwani Mardiya,320028479299214000,Banjarmasin,04/06/1955,Wiraswasta,Rp 1.000.000,2,0,2,0,0,0,1000000,70
Raisa Raayu,320004658191465000,Bengkulu,03/02/1963,Petani,Rp 1.500.000,5,0,2,0,2,0,1500000,62
Kiandra Ardianto,320062128691967000,Jambi,28/04/1974,Karyawan,Rp 1.500.000,4,1,1,0,1,1,1500000,51
Ardi Sitompul,320076934933838000,Makassar,03/03/1976,Petani,Rp 2.000.000,6,0,1,0,2,2,2000000,49
Gabriella Ramawati,320097201033697000,Manado,25/01/1999,Petani,Rp 210.000,4,0,0,1,0,2,210000,26
Restu Adriansya,320004932012745000,Sorong,05/10/1963,Buruh,Rp 1.000.000,8,0,2,2,2,1,1000000,61
Puji Nasiruddin,320042550679039000,Palembang,01/10/1991,Tidak Bekerja,Rp 0,4,1,2,0,1,0,0,33
Sutan Jayadi Irawan,320018041417160000,Sorong,30/08/1967,Wiraswasta,Rp 500.000,6,0,2,2,0,2,500000,57
Cintia Lazuardi,320073981216661000,Samarinda,04/05/1988,Karyawan,Rp 500.000,1,0,0,0,0,0,500000,37
Rama Firgantoro,320002521069825000,Makassar,28/02/1987,Wiraswasta,Rp 1.000.000,4,0,3,0,0,1,1000000,38
Paris Samosir,320099349845941000,Palu,05/12/1995,Karyawan,Rp 1.500.000,7,1,3,2,0,0,1500000,29
Ani Pertiwi,320081448287419000,Manokwari,15/03/1985,Tidak Bekerja,Rp 0,6,0,3,2,1,0,0,40
Agnes Zulkarnain,320022064815138000,Padang,07/10/1955,Karyawan,Rp 500.000,8,1,1,2,1,2,500000,69
Jessica Siombing,320044211441762000,Semarang,22/07/1974,Karyawan,Rp 2.000.000,7,1,3,0,2,1,2000000,50
Safina Uyaina,320046207301634000,Semarang,07/09/1993,Wiraswasta,Rp 500.000,4,0,2,0,2,0,500000,31
Arjaya Mandala,320040582576477000,Semarang,18/02/2000,Wiraswasta,Rp 2.000.000,6,0,3,2,1,0,2000000,25
Puti Melinda Oktaviani,320078126744538000,Semarang,20/07/1957,Buruh,Rp 2.000.000,6,0,3,0,1,1,2000000,67
Dian Pranowo,320043560562937000,Depok,13/10/1964,Petani,Rp 500.000,7,0,3,0,2,1,500000,60
Karima Purnawati,320051713758124000,Manokwari,02/03/1993,Wiraswasta,Rp 2.000.000,6,1,0,1,1,2,2000000,32
Maida Uwais,320063851334287000,Manado,11/09/1996,Buruh,Rp 1.500.000,8,0,2,2,2,2,1500000,28
Kartika Mangunsong,320038062138407000,Gorontalo,24/05/1967,Tidak Bekerja,Rp 0,4,1,1,1,0,1,0,58
Rusman Artati,320004573918632000,Surabaya,28/12/1972,Buruh,Rp 1.500.000,4,1,2,0,0,0,1500000,52
Adiarja Ardiansya,320095551505041000,Malang,30/12/1995,Buruh,Rp 1.500.000,7,0,3,1,2,0,1500000,29
Jamil Namaga,320087550107986000,Semarang,29/04/1975,Tidak Bekerja,Rp 0,4,0,1,1,1,1,0,50
Rina Utama,320019965127675000,Malang,27/01/1984,Buruh,Rp 329.000,8,1,2,1,2,1,329000,41
Gina Jailani.,320020702177952000,Palembang,01/11/1960,Buruh,Rp 1.000.000,9,1,3,1,2,1,1000000,64
Farunnisa Siotang,320074495296015000,Padang,07/05/1956,Buruh,Rp 1.000.000,1,0,0,0,0,1,1000000,69
Jane Idayanto,320029773305353000,Bogor,01/07/1973,Wiraswasta,Rp 500.000,4,1,0,1,0,1,500000,52
Samia Pertiwi,320055110988462000,Samarinda,12/07/1993,Buruh,Rp 2.000.000,5,1,0,1,0,2,2000000,31
Ani Alim,320001899484923000,Manado,30/05/1988,Petani,Rp 1.500.000,5,1,1,1,2,0,1500000,37
Balijan Manullang,320028222304766000,Manado,07/09/1985,Wiraswasta,Rp 1.000.000,6,1,1,1,2,0,1000000,39
Embu Aryanto,320010322269540000,Pekanbaru,09/12/1963,Petani,Rp 1.500.000,4,0,0,2,2,0,1500000,61
Wirda Siregar,320094498846694000,Balikpapan,13/07/1959,Karyawan,Rp 2.000.000,6,0,1,2,2,1,2000000,65
Sabrina Narpati,320030818841329000,Merauke,20/09/1971,Buruh,Rp 1.500.000,7,0,3,0,2,2,1500000,53
Yono Utasoit,320072406155240000,Jambi,07/09/1981,Petani,Rp 500.000,5,1,1,1,2,0,500000,43
Ika Setiawan,320065240680643000,Gorontalo,27/01/1970,Karyawan,Rp 2.300.000,8,0,3,0,2,2,2300000,55
Simon Wacana,320021914189790000,Lampung,09/02/1997,Petani,Rp 3.200.000,8,0,3,1,1,2,3200000,28
Ira Winarno,320023258433442000,Depok,22/11/1998,Wiraswasta,Rp 500.000,10,1,2,2,2,2,500000,26
Mutia Laksita,320082030214467000,Jambi,25/05/1989,Wiraswasta,Rp 4.000.000,5,1,1,0,2,0,4000000,36
Kcakrawala Fujiati,320015230706647000,Surabaya,24/02/1995,Tidak Bekerja,Rp 0,6,1,2,1,1,0,0,30
Mitra Assana,320033034227158000,Pekanbaru,02/07/1996,Tidak Bekerja,Rp 0,5,1,1,0,2,0,0,29
Asna Maryati,320069357830436000,Semarang,29/07/1959,Petani,Rp 500.000,7,0,3,0,2,1,500000,65
Azalea Kusumo,320086955905586000,Jayapura,11/05/1986,Tidak Bekerja,Rp 0,4,1,0,1,1,1,0,39
Artawan Latupono,320096059172362000,Bogor,07/04/1991,Buruh,Rp 1.000.000,4,0,2,0,1,0,1000000,34
Pangeran Lazuardi,320019705412087000,Makassar,02/12/1990,Tidak Bekerja,Rp 0,7,0,2,1,1,2,0,34
Puti Suryono,320070438952762000,Malang,14/10/1984,Buruh,Rp 1.500.000,5,0,3,0,0,2,1500000,40
Nrima Nurdiyanti,320009985394618000,Sorong,08/10/1992,Wiraswasta,Rp 2.000.000,1,1,0,0,0,0,2000000,32
Vera Nurdiyanti,320002982360009000,Balikpapan,08/09/1981,Tidak Bekerja,Rp 0,7,1,3,0,2,1,0,43
Mala Maendra,320029032296800000,Semarang,28/08/1957,Buruh,Rp 1.500.000,8,1,3,2,1,1,1500000,67
Ika Fujiati,320004014810853000,Kendari,10/02/1977,Wiraswasta,Rp 1.000.000,7,1,0,2,2,2,1000000,48
Cindy Susanti,320010227712157000,Merauke,23/12/1979,Wiraswasta,Rp 1.000.000,6,0,2,0,1,2,1000000,45
Tania Rajasa,320076512928681000,Pekanbaru,13/03/1993,Tidak Bekerja,Rp 0,4,0,0,2,0,1,0,32
Damar Maryati,320084102773778000,Manado,21/12/1963,Tidak Bekerja,Rp 0,7,1,3,1,0,1,0,61
Ica Abibi,320079723183096000,Makassar,29/11/1976,Wiraswasta,Rp 1.000.000,4,1,0,2,0,0,1000000,48
Sakura Yuniar,320067932787971000,Malang,23/05/1988,Buruh,Rp 1.000.000,6,0,1,1,2,2,1000000,37
Maida Gunarto,320017454342102000,Jambi,06/06/1972,Wiraswasta,Rp 500.000,4,0,1,1,1,1,500000,53
Jayadi Nurdiyanti,320005534813300000,Semarang,18/01/1992,Buruh,Rp 1.000.000,6,0,2,0,2,1,1000000,33
Eli Utama,320067140505099000,Bogor,26/06/1973,Wiraswasta,Rp 500.000,6,1,2,0,2,0,500000,52
Paris Sitompul,320089061922021000,Lampung,08/02/1968,Petani,Rp 1.000.000,6,0,0,1,2,2,1000000,57
