Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas
Tgk Irsad Mansur,320007491610661000,Palembang,30/05/1956,Tidak Bekerja,Rp0,6,0,3,2,0,0
Puput Nasiruddin,320047399860691000,Bogor,04/08/1961,Buru,Rp1.500.000,3,0,0,1,0,2
Karima Tamrin,320073772097214000,Kendari,12/05/1986,Buru,Rp1.000.000,6,0,3,0,2,1
Padmi Santoso,320065018859733000,Bogor,05/06/1992,Tidak Bekerja,Rp0,4,0,2,1,1,0
Fara Ardiansya,320026019567702000,Pontianak,07/08/1963,Buru,Rp500.000,2,0,1,0,0,0
Lalita Wayudin,320068276368964000,Jambi,08/04/1987,Karyawan,Rp1.500.000,6,0,3,2,1,0
Karima Budiman,320010747793356000,Balikpapan,07/07/1972,Wiraswasta,Rp1.500.000,5,0,1,2,1,1
Luung Andriani,320071384585105000,Banjarmasin,06/06/1984,Wiraswasta,Rp1.000.000,4,0,0,2,1,1
Yoga Kusumo,320098789827837000,Pekanbaru,13/08/1957,Tidak Bekerja,Rp0,6,0,3,1,1,1
Paris Artati,320057532489833000,Kendari,09/10/1963,Wiraswasta,Rp2.000.000,5,1,0,2,2,0
Kamila Sudiati,320058269193425000,Manokwari,08/08/1977,Buru,Rp1.500.000,0,0,0,0,0,0
Janet Safitri,320047016799814000,Gorontalo,19/02/1995,Karyawan,Rp1.000.000,5,1,2,0,2,0
Ina Prakasa,320012178302779000,Depok,18/05/1981,Wiraswasta,Rp2.000.000,5,0,1,0,2,2
Tgk Purwanto Siombing,320077303751288000,Semarang,17/12/1974,Petani,Rp1.000.000,3,1,1,0,1,0
Capa Abibi,320041790272481000,Gorontalo,13/09/1985,Wiraswasta,Rp2.000.000,3,0,0,2,0,1
Sara Maulana,320026292311532000,Palu,16/02/1986,Buru,Rp500.000,2,0,0,0,1,0
Puti Mala Suwarno,320089512914542000,Jambi,22/01/1974,Karyawan,Rp2.000.000,3,0,1,1,1,0
Jamalia Mandasari,320006488436291000,Medan,24/12/1984,Petani,Rp500.000,7,1,2,0,2,1
Ari Raayu,320098227040594000,Jambi,25/03/1989,Wiraswasta,Rp500.000,8,1,3,1,2,1
Nilam Pradipta,320052052720780000,Bogor,12/11/1959,Tidak Bekerja,Rp0,9,1,2,2,2,1
Aswani Prastuti,320086312170141000,Palangka Raya,17/04/1979,Tidak Bekerja,Rp0,3,0,1,0,1,1
Aslijan Waluyo,320067022293209000,Manokwari,10/06/1968,Karyawan,Rp500.000,2,0,1,0,0,0
Elma Nainggolan,320047821617434000,Semarang,03/02/1967,Karyawan,Rp1.000.000,3,0,0,1,1,1
Bajragin Tamba,320025703355735000,Yogyakarta,05/05/1967,Petani,Rp2.000.000,6,1,1,1,2,1
Jamil Rajata,320039489174458000,Manado,13/06/1963,Petani,Rp1.500.000,6,0,2,0,2,2
Putri Wastuti,320074143139011000,Gorontalo,29/06/1979,Petani,Rp1.500.000,4,0,1,2,0,0
Tgk Pia Kuswoyo,320073987068397000,Bogor,11/09/1991,Buru,Rp1.000.000,5,0,1,2,2,0
Yoga Maeswara,320003815077097000,Lampung,07/03/1960,Tidak Bekerja,Rp0,5,1,1,1,1,1
Cut Ica Irawan,320009712581131000,Yogyakarta,10/12/1963,Tidak Bekerja,Rp0,3,0,2,0,0,0
Talia Winarsi,320020292586470000,Yogyakarta,25/06/1962,Petani,Rp1.000.000,10,1,3,2,2,2
Cakrajiya Nasiruddin,320056915826046000,Malang,05/10/1980,Petani,Rp1.000.000,7,0,2,2,1,2
Rafi Januar,320010723329491000,Merauke,19/01/1993,Petani,Rp500.000,7,1,2,2,2,0
Jarwi Saputra,320073972455378000,Bogor,27/09/1978,Buru,Rp1.500.000,8,0,3,1,1,2
Bakidin Nugroo,320073724872764000,Malang,11/02/1999,Tidak Bekerja,Rp0,6,1,0,2,1,2
Jaswadi Siregar,320021042945101000,Gorontalo,04/10/1977,Petani,Rp500.000,7,1,2,1,0,2
Jayadi Laksita,320052317926102000,Pontianak,13/03/1996,Tidak Bekerja,Rp0,8,1,2,1,2,1
Uli Yulianti,320089936119834000,Bengkulu,29/04/1966,Buru,Rp1.500.000,5,0,0,1,2,1
Kalim Najmudin,320034143186495000,Jayapura,23/03/1959,Wiraswasta,Rp2.000.000,4,0,1,2,1,0
Tgk Gina Anggriawan,320009899715395000,Gorontalo,23/05/1985,Petani,Rp2.000.000,7,1,2,1,0,2
Samia Raayu,320041302623817000,Bandung,14/04/1999,Tidak Bekerja,Rp0,7,0,3,1,2,1
Gadu Yuliarti,320006737971951000,Samarinda,17/04/1986,Karyawan,Rp1.500.000,5,0,0,2,1,1
Zamira Marbun,320005324322005000,Manokwari,13/12/1966,Tidak Bekerja,Rp0,3,1,0,0,0,1
Sutan Gamanto Suartini,320016836317245000,Jambi,11/06/1969,Karyawan,Rp2.000.000,8,0,3,1,2,2
Madinata Susanti,320036587593986000,Palembang,08/10/1996,Wiraswasta,Rp2.000.000,5,0,2,2,1,0
Cici Zulkarnain,320094413246557000,Balikpapan,20/08/1971,Petani,Rp2.000.000,3,1,0,0,2,0
Eko Siotang,320097367174081000,Semarang,14/09/1996,Tidak Bekerja,Rp0,9,1,3,2,2,1
Tami Tamba,320047285414594000,Kendari,11/02/1970,Tidak Bekerja,Rp0,6,1,1,2,2,0
Ciaobella Mardiya,320079167997856000,Palembang,14/03/1962,Buru,Rp500.000,6,1,3,0,1,0
Vivi Siregar,320099451139783000,Palu,08/11/1971,Petani,Rp1.500.000,8,1,2,1,1,2
Suci Mustofa,320064242256225000,Bogor,15/04/1964,Buru,Rp1.000.000,5,0,1,1,1,2
Gasti Kusmawati,320017806209677000,Bandung,23/05/1972,Karyawan,Rp2.000.000,7,0,1,1,2,2
Kayun Situmorang,320049154497313000,Pekanbaru,03/02/1962,Petani,Rp500.000,3,1,1,0,0,1
Dinda Salaudin,320080203365735000,Jayapura,18/02/1993,Petani,Rp500.000,6,1,0,0,2,2
Karja Kuswoyo,320049501660732000,Pekanbaru,07/04/1976,Buru,Rp2.000.000,4,1,1,0,1,0
Tami Wibowo,320085051640622000,Palembang,05/07/1969,Karyawan,Rp1.000.000,7,1,3,0,0,2
Rusman Putra,320075771278198000,Bandung,02/09/1991,Karyawan,Rp1.500.000,3,1,2,0,0,0
Janet Uwais,320075137391278000,Bandung,30/05/1999,Karyawan,Rp2.000.000,8,0,2,2,2,2
Kasirwanda Lestari,320061313751321000,Yogyakarta,09/07/1970,Buruh,Rp1.000.000,7,0,3,1,2,1
Cakrawala Waskita,320049314732416000,Samarinda,15/06/1984,Buruh,Rp1.500.000,6,1,3,2,0,0
Janet Aryanto,320069808312731000,Jayapura,15/09/1993,Petani,Rp1.500.000,9,1,3,1,2,1
Tari Puspita,320034505129760000,Banjarmasin,11/01/1994,Wiraswasta,Rp1.000.000,5,1,0,2,2,0
Nilam Damanik,320011903689477000,Manado,18/08/1968,Buruh,Rp1.000.000,6,1,2,2,1,0
Ade Wacana,320038151996945000,Medan,10/02/1974,Petani,Rp2.000.000,9,1,3,2,1,2
Ellis Manullang,320097385095785000,Sorong,17/09/1980,Wiraswasta,Rp1.000.000,2,0,0,0,0,2
Safina Salaudin,320000742144477000,Pekanbaru,27/03/1982,Wiraswasta,Rp1.500.000,5,1,0,2,0,2
Tami Suryono,320023492662587000,Malang,12/11/1955,Wiraswasta,Rp2.000.000,8,1,2,1,1,2
Ardi Agustina,320050792397084000,Kendari,18/03/1987,Karyawan,Rp1.500.000,3,0,0,1,1,0
Julia Lailasari,320081073029039000,Lampung,30/05/1962,Tidak Bekerja,Rp0,7,0,2,1,2,1
Keisa Sinaga,320040079097432000,Medan,04/01/1993,Wiraswasta,Rp2.000.000,9,1,3,2,2,0
Lanjar Andayani,320029643684560000,Balikpapan,27/03/1972,Tidak Bekerja,Rp0,3,1,0,0,2,0
Puti Puspa Nasiruddin,320071485914213000,Samarinda,03/04/1996,Karyawan,Rp500.000,4,0,0,0,2,1
Damar Marbun,320025662061025000,Yogyakarta,25/04/1995,Petani,Rp2.000.000,4,0,1,0,1,1
Sutan Viktor Simanjuntak,320010449019578000,Yogyakarta,09/07/1957,Tidak Bekerja,Rp0,5,1,0,1,0,2
Tgk Cinta Anggriawan,320029548426078000,Pontianak,05/04/1957,Petani,Rp2.000.000,0,0,0,0,0,0
Fara Siombing,320028422513659000,Pekanbaru,08/08/1956,Karyawan,Rp1.000.000,9,1,2,1,2,2
Ratna Widodo,320008981648392000,Kendari,30/06/1964,Tidak Bekerja,Rp0,5,0,3,0,0,2
Mujur Astuti,320084288356733000,Balikpapan,24/06/2000,Wiraswasta,Rp1.500.000,6,0,3,0,1,1
Melinda Siombing,320026737271174000,Bengkulu,17/12/1975,Wiraswasta,Rp500.000,6,1,1,2,1,1
Qori Gunarto,320092745330928000,Jayapura,13/02/1994,Tidak Bekerja,Rp0,1,0,1,0,0,0
Paiman Anggriawan,320084054616430000,Lampung,08/11/1999,Petani,Rp1.500.000,5,1,0,1,0,2
Eka Sitorus,320034903101227000,Padang,12/07/1973,Wiraswasta,Rp500.000,7,1,1,1,2,2
Yusuf Simanjuntak,320071061269023000,Jayapura,11/09/1973,Tidak Bekerja,Rp0,6,1,2,1,0,2
Rrini Mayasari,320029437733187000,Makassar,17/12/1962,Petani,Rp1.500.000,5,1,3,0,1,0
Kasim Widodo,320059055169685000,Manado,23/07/1967,Karyawan,Rp2.000.000,10,1,3,1,2,2
Cut Gina Putra,320093795398310000,Manokwari,16/04/1968,Karyawan,Rp1.500.000,4,0,2,2,0,0
Sabrina Adriansya,320080929455756000,Pekanbaru,30/09/1991,Tidak Bekerja,Rp0,9,0,3,1,2,2
Kprayoga Tampubolon,320092777206498000,Jayapura,11/02/1957,Tidak Bekerja,Rp0,6,0,3,2,0,1
Irfan Waskita,320016736632150000,Bogor,04/05/2000,Karyawan,Rp2.000.000,6,1,2,2,1,0
Darmana Pangestu,320038281231656000,Pekanbaru,01/10/1997,Wiraswasta,Rp2.000.000,5,0,1,1,2,1
Silvia Nurdiyanti,320006563833983000,Yogyakarta,21/03/1956,Karyawan,Rp2.000.000,2,0,1,0,0,1
Puspa Siotang,320090594089543000,Palembang,12/04/1963,Karyawan,Rp1.000.000,4,1,0,0,0,2
Ulya Winarno,320009142614080000,Bandung,23/11/1982,Wiraswasta,Rp500.000,4,1,0,2,0,0
Mariadi Oktaviani,320068801430657000,Samarinda,02/09/1973,Wiraswasta,Rp500.000,8,1,3,2,0,1
Arsanto Artati,320040617920222000,Manado,06/01/1973,Wiraswasta,Rp2.000.000,2,0,1,1,0,0
Umar Megantara,320072651023115000,Bandung,05/10/1996,Karyawan,Rp2.000.000,9,0,2,2,2,2
Alika Susanti,320092009858704000,Lampung,12/04/1988,Karyawan,Rp500.000,2,1,0,1,0,0
Balidin Yolanda,320098937701799000,Banjarmasin,06/04/1978,Tidak Bekerja,Rp0,8,1,3,0,1,2
Ayu Abibi,320026307319345000,Gorontalo,10/02/1960,Wiraswasta,Rp500.000,8,1,2,2,2,0
Ida Usama,320068607340050000,Medan,22/07/1955,Wiraswasta,Rp1.200.000,6,1,0,1,2,1
Puti Rati Ardianto,320066817399783000,Kendari,05/12/1968,Buruh,Rp2.000.000,3,0,1,0,1,1
Dadap Fujiati,320094183589450000,Medan,29/09/1999,Buruh,Rp1.000.000,7,1,2,0,2,2
Yance Aryanti,320051527504732000,Manokwari,11/08/1958,Karyawan,Rp2.000.000,9,1,3,2,2,1
Eman Irawan,320024529036247000,Pontianak,15/02/1960,Petani,Rp1.500.000,8,0,2,1,2,2
Najib Saragi,320044198140495000,Padang,22/01/1992,Buruh,Rp1.200.000,5,1,1,1,1,0
Laswi Wasita,320088057220428000,Palangka Raya,18/01/1957,Karyawan,Rp1.200.000,4,0,0,2,1,0
Karya Damanik,320025256290361000,Malang,29/01/1975,Tidak Bekerja,Rp0,6,0,1,1,2,1
Lala Maryati,320016605991285000,Pekanbaru,16/11/1955,Buru,Rp2.000.000,6,0,3,2,0,0
Almira Usada,320030355829814000,Samarinda,01/10/1967,Tidak Bekerja,Rp0,6,1,0,2,2,0
Kamidin Santoso,320099866018964000,Jayapura,22/04/1955,Tidak Bekerja,Rp0,5,1,1,0,1,2
Diana Fujiati,320027393762364000,Surabaya,07/05/1960,Karyawan,Rp1.500.000,7,1,0,1,2,2
Alim Wastuti,320023334057645000,Jayapura,10/09/1995,Buru,Rp500.000,7,0,1,2,1,2
Jagaraga Akim,320022088612800000,Banjarmasin,09/04/1987,Tidak Bekerja,Rp0,4,1,2,1,0,0
Raayu Sudiati,320082647212918000,Palu,06/12/1988,Tidak Bekerja,Rp0,7,0,2,2,0,2
Joko Utasoit,320079149785068000,Sorong,16/11/1955,Karyawan,Rp1.000.000,7,1,3,2,1,0
Sutan Mursinin Nasiruddin,320048378329216000,Makassar,13/12/1956,Buru,Rp2.000.000,8,1,2,1,2,2
Cayono Widiastuti,320065489093315000,Semarang,16/08/1973,Wiraswasta,Rp1.800.000,6,1,1,0,2,2
Salima Abibi,320027774846301000,Balikpapan,14/02/1976,Buru,Rp1.200.000,5,1,1,0,2,1
Karta Laksmiwati,320098931434765000,Makassar,18/01/1985,Wiraswasta,Rp500.000,9,0,3,2,2,2
Eka Utama,320077349993907000,Jayapura,16/01/1962,Buru,Rp1.000.000,7,0,3,2,0,1
Adika Prakasa,320012642532979000,Lampung,17/11/1997,Petani,Rp2.000.000,4,0,2,0,1,1
Vivi Usada,320035867762587000,Manado,02/03/1967,Tidak Bekerja,Rp0,8,1,3,1,0,2
Zizi Januar,320098775891305000,Balikpapan,02/03/1987,Buru,Rp1.500.000,6,1,1,1,1,1
Sutan Jono Nasyia,320014766954672000,Bengkulu,01/04/1967,Tidak Bekerja,Rp0,3,1,0,0,1,0
Tomi Januar,320096574258357000,Pekanbaru,21/06/1999,Petani,Rp2.000.000,4,0,0,1,1,1
Edi Purwanti,320041861544454000,Makassar,03/05/1967,Petani,Rp1.500.000,9,1,3,1,2,1
Patricia Mangunsong,320092730757789000,Bogor,03/04/1964,Karyawan,Rp3.000.000,3,0,0,1,1,0
Galur Andriani,320022079495686000,Kendari,10/08/1987,Buruh,Rp500.000,4,1,1,0,1,0
Farunnisa Utasoit,320006499168722000,Padang,09/09/1981,Buru,Rp1.000.000,5,0,3,1,1,0
Kani Ardianto,320039052198796000,Palangka Raya,26/06/1992,Tidak Bekerja,Rp0,5,1,1,2,0,1
Sutan Daliono Prakasa,320014838604833000,Padang,08/11/1967,Petani,Rp1.000.000,3,1,1,0,0,1
Nurul Palastri,320050147812030000,Depok,12/05/1976,Tidak Bekerja,Rp0,8,1,1,2,1,2
Sari Suryatmi,320084488443524000,Bengkulu,18/12/1987,Petani,Rp500.000,4,0,1,1,1,1
Paulin Budiman,320032511094960000,Malang,11/09/1988,Petani,Rp1.000.000,7,0,2,2,2,1
Ika Budiman,320016771377441000,Sorong,13/01/1967,Karyawan,Rp1.500.000,5,0,3,2,0,0
Tedi Mandasari,320060256043779000,Bekasi,16/04/1987,Petani,Rp500.000,4,1,0,2,0,1
Rangga Yulianti,320099609870774000,Yogyakarta,25/08/1978,Petani,Rp2.000.000,7,0,2,2,2,0
Paiman Uwais,320077134244031000,Palangka Raya,18/04/1973,Karyawan,Rp1.500.000,3,0,1,0,0,2
Laswi Lestari,320057447383702000,Padang,28/02/1957,Tidak Bekerja,Rp0,7,1,0,1,2,2
Wardaya Siotang,320046254165743000,Surabaya,13/02/1955,Karyawan,Rp1.000.000,9,0,3,1,2,2
Tgk Wani Mardiya,320028479299214000,Banjarmasin,04/06/1955,Wiraswasta,Rp1.000.000,2,0,2,0,0,0
Raisa Raayu,320004658191465000,Bengkulu,03/02/1963,Petani,Rp1.500.000,5,0,2,0,2,0
Kiandra Ardianto,320062128691967000,Jambi,28/04/1974,Karyawan,Rp1.500.000,4,1,1,0,1,1
Ardi Sitompul,320076934933838000,Makassar,03/03/1976,Petani,Rp2.000.000,6,0,1,0,2,2
Gabriella Ramawati,320097201033697000,Manado,25/01/1999,Petani,Rp210.000,4,0,0,1,0,2
Restu Adriansya,320004932012745000,Sorong,05/10/1963,Buru,Rp1.000.000,8,0,2,2,2,1
Puji Nasiruddin,320042550679039000,Palembang,01/10/1991,Tidak Bekerja,Rp0,4,1,2,0,1,0
Sutan Jayadi Irawan,320018041417160000,Sorong,30/08/1967,Wiraswasta,Rp500.000,6,0,2,2,0,2
Cintia Lazuardi,320073981216661000,Samarinda,04/05/1988,Karyawan,Rp500.000,1,0,0,0,0,0
Rama Firgantoro,320002521069825000,Makassar,28/02/1987,Wiraswasta,Rp1.000.000,4,0,3,0,0,1
Paris Samosir,320099349845941000,Palu,05/12/1995,Karyawan,Rp1.500.000,7,1,3,2,0,0
Ani Pertiwi,320081448287419000,Manokwari,15/03/1985,Tidak Bekerja,Rp0,6,0,3,2,1,0
Agnes Zulkarnain,320022064815138000,Padang,07/10/1955,Karyawan,Rp500.000,8,1,1,2,1,2
Jessica Siombing,320044211441762000,Semarang,22/07/1974,Karyawan,Rp2.000.000,7,1,3,0,2,1
Safina Uyaina,320046207301634000,Semarang,07/09/1993,Wiraswasta,Rp500.000,4,0,2,0,2,0
Arjaya Mandala,320040582576477000,Semarang,18/02/2000,Wiraswasta,Rp2.000.000,6,0,3,2,1,0
Puti Melinda Oktaviani,320078126744538000,Semarang,20/07/1957,Buru,Rp2.000.000,6,0,3,0,1,1
Dian Pranowo,320043560562937000,Depok,13/10/1964,Petani,Rp500.000,7,0,3,0,2,1
Karima Purnawati,320051713758124000,Manokwari,02/03/1993,Wiraswasta,Rp2.000.000,6,1,0,1,1,2
Maida Uwais,320063851334287000,Manado,11/09/1996,Buruh,Rp1.500.000,8,0,2,2,2,2
Kartika Mangunsong,320038062138407000,Gorontalo,24/05/1967,Tidak Bekerja,Rp0,4,1,1,1,0,1
Rusman Artati,320004573918632000,Surabaya,28/12/1972,Buru,Rp1.500.000,4,1,2,0,0,0
Adiarja Ardiansya,320095551505041000,Malang,30/12/1995,Buru,Rp1.500.000,7,0,3,1,2,0
Jamil Namaga,320087550107986000,Semarang,29/04/1975,Tidak Bekerja,Rp0,4,0,1,1,1,1
Rina Utama,320019965127675000,Malang,27/01/1984,Buru,Rp329.000,8,1,2,1,2,1
Gina Jailani,320020702177952000,Palembang,01/11/1960,Buruh,Rp1.000.000,9,1,3,1,2,1
Farunnisa Siotang,320074495296015000,Padang,07/05/1956,Buruh,Rp1.000.000,1,0,0,0,0,1
Jane Idayanto,320029773305353000,Bogor,01/07/1973,Wiraswasta,Rp500.000,4,1,0,1,0,1
Samia Pertiwi,320055110988462000,Samarinda,12/07/1993,Buruh,Rp2.000.000,5,1,0,1,0,2
Ani Alim,320001899484923000,Manado,30/05/1988,Petani,Rp1.500.000,5,1,1,1,2,0
Balijan Manullang,320028222304766000,Manado,07/09/1985,Wiraswasta,Rp1.000.000,6,1,1,1,2,0
Embu Aryanto,320010322269540000,Pekanbaru,09/12/1963,Petani,Rp1.500.000,4,0,0,2,2,0
Wirda Siregar,320094498846694000,Balikpapan,13/07/1959,Karyawan,Rp2.000.000,6,0,1,2,2,1
Sabrina Narpati,320030818841329000,Merauke,20/09/1971,Buruh,Rp1.500.000,7,0,3,0,2,2
Yono Utasoit,320072406155240000,Jambi,07/09/1981,Petani,Rp500.000,5,1,1,1,2,0
Ika Setiawan,320065240680643000,Gorontalo,27/01/1970,Karyawan,Rp2.300.000,8,0,3,0,2,2
Simon Wacana,320021914189790000,Lampung,09/02/1997,Petani,Rp3.200.000,8,0,3,1,1,2
Ira Winarno,320023258433442000,Depok,22/11/1998,Wiraswasta,Rp500.000,10,1,2,2,2,2
Mutia Laksita,320082030214467000,Jambi,25/05/1989,Wiraswasta,Rp4.000.000,5,1,1,0,2,0
Kcakrawala Fujiati,320015230706647000,Surabaya,24/02/1995,Tidak Bekerja,Rp0,6,1,2,1,1,0
Mitra Assana,320033034227158000,Pekanbaru,02/07/1996,Tidak Bekerja,Rp0,5,1,1,0,2,0
Asna Maryati,320069357830436000,Semarang,29/07/1959,Petani,Rp500.000,7,0,3,0,2,1
Azalea Kusumo,320086955905586000,Jayapura,11/05/1986,Tidak Bekerja,Rp0,4,1,0,1,1,1
Artawan Latupono,320096059172362000,Bogor,07/04/1991,Buruh,Rp1.000.000,4,0,2,0,1,0
Pangeran Lazuardi,320019705412087000,Makassar,02/12/1990,Tidak Bekerja,Rp0,7,0,2,1,1,2
Puti Suryono,320070438952762000,Malang,14/10/1984,Buruh,Rp1.500.000,5,0,3,0,0,2
Nrima Nurdiyanti,320009985394618000,Sorong,08/10/1992,Wiraswasta,Rp2.000.000,1,1,0,0,0,0
Vera Nurdiyanti,320002982360009000,Balikpapan,08/09/1981,Tidak Bekerja,Rp0,7,1,3,0,2,1
Mala Maendra,320029032296800000,Semarang,28/08/1957,Buruh,Rp1.500.000,8,1,3,2,1,1
Ika Fujiati,320004014810853000,Kendari,10/02/1977,Wiraswasta,Rp1.000.000,7,1,0,2,2,2
Cindy Susanti,320010227712157000,Merauke,23/12/1979,Wiraswasta,Rp1.000.000,6,0,2,0,1,2
Tania Rajasa,320076512928681000,Pekanbaru,13/03/1993,Tidak Bekerja,Rp0,4,0,0,2,0,1
Damar Maryati,320084102773778000,Manado,21/12/1963,Tidak Bekerja,Rp0,7,1,3,1,0,1
Ica Abibi,320079723183096000,Makassar,29/11/1976,Wiraswasta,Rp1.000.000,4,1,0,2,0,0
Sakura Yuniar,320067932787971000,Malang,23/05/1988,Buruh,Rp1.000.000,6,0,1,1,2,2
Maida Gunarto,320017454342102000,Jambi,06/06/1972,Wiraswasta,Rp500.000,4,0,1,1,1,1
Jayadi Nurdiyanti,320005534813300000,Semarang,18/01/1992,Buruh,Rp1.000.000,6,0,2,0,2,1
Nadine Idayanto,320028951312724000,Manado,22/01/1988,Tidak Bekerja,Rp0,7,1,3,2,1,0
Eli Utama,320067140505099000,Bogor,26/06/1973,Wiraswasta,Rp500.000,6,1,2,0,2,0
Paris Sitompul,320089061922021000,Lampung,08/02/1968,Petani,Rp1.000.000,6,0,0,1,2,2
Ilsa Siombing,320049604034741000,Jayapura,02/09/1981,Karyawan,Rp4.300.000,3,0,1,1,0,0
Legawa Permadi,320050735767251000,Lampung,03/07/1967,Wiraswasta,Rp1.000.000,7,1,2,2,1,1
Mnrima Suartini,320078328765266000,Manokwari,08/06/1965,Wiraswasta,Rp1.500.000,3,0,0,0,1,2
Cutica Irawan,320009712581131000,Yogyakarta,10/12/1963,Tidak Bekerja,Rp0,3,0,2,0,0,0
Cut Novi Saptono,320087813667407000,Bengkulu,03/12/1978,Tidak Bekerja,Rp0,5,1,0,0,2,1
Lemba Siombing,320094550145753000,Makassar,17/04/2000,Tidak Bekerja,Rp0,4,1,0,1,2,0
Enda Aryanti,320009660142262000,Medan,09/01/1964,Wiraswasta,Rp500.000,5,1,1,0,2,0
Paulin Putra,320062744180087000,Sorong,15/01/1982,Buruh,Rp2.500.000,5,1,1,1,2,0
Amalia Laksmiwati,320045984187504000,Semarang,09/10/1993,Petani,Rp500.000,9,1,2,2,1,2
Purwadi Usada,320035866934815000,Padang,17/03/2000,Wiraswasta,Rp500.000,6,1,1,1,1,2
Unggul Utami,320019547234012000,Bengkulu,30/11/1991,Wiraswasta,Rp1.500.000,2,0,0,1,0,1
Arsanto Januar,320022505036585000,Pontianak,12/11/1969,Petani,Rp1.000.000,7,0,0,2,2,2
Marsito Mangunsong,320085230359257000,Manado,20/04/1984,Petani,Rp1.500.000,3,0,0,2,0,1
Safina Putra,320099409048745000,Palembang,21/12/1990,Tidak Bekerja,Rp0,6,1,2,0,1,2
Jasmin Pradipta,320077403889945000,Surabaya,04/01/1968,Wiraswasta,Rp1.000.000,7,1,2,1,2,1
Martani Dongoran,320077008216183000,Jambi,30/06/1996,Petani,Rp2.000.000,8,1,3,1,1,2
Unjani Mandala,320057290214152000,Medan,20/11/1973,Tidak Bekerja,Rp0,2,0,0,2,0,0
Tgk Juli Wijaya,320072541284092000,Bekasi,15/11/1973,Wiraswasta,Rp1.000.000,5,1,1,2,0,1
Pangestu Suryatmi,320026266721062000,Palangka Raya,14/09/1977,Wiraswasta,Rp2.000.000,6,1,1,0,2,1
Endra Wulandari,320057178375065000,Yogyakarta,21/06/1959,Karyawan,Rp800.000,7,0,2,2,2,1
Sabrina Saragi,320035649572331000,Samarinda,26/11/1970,Buruh,Rp900.000,8,1,3,0,2,1
Banawa Astuti,320087389669157000,Sorong,21/03/1984,Wiraswasta,Rp1.000.000,5,0,2,1,0,1
Safina Astuti,320083705513822000,Balikpapan,20/02/1977,Petani,Rp1.500.000,5,0,1,1,1,1
Ajiman Nugroo,320049837061632000,Pontianak,27/03/1981,Petani,Rp500.000,7,0,1,2,2,1
Jarwa Pratiwi,320065869937573000,Kendari,04/03/1960,Petani,Rp500.000,10,1,3,2,2,1
Kanda Adriansya,320017408156699000,Jayapura,02/03/1993,Karyawan,Rp2.000.000,3,0,0,0,2,0
Gambira Farida,320052370281350000,Medan,02/05/1982,Tidak Bekerja,Rp0,8,0,3,2,0,2
Arsanto Laksita,320052852148984000,Padang,15/05/1998,Wiraswasta,Rp500.000,3,0,1,1,0,1
Gambira Palastri,320046600810610000,Merauke,27/05/1959,Karyawan,Rp500.000,6,0,1,2,2,0
Mariadi Wacana,320027224136088000,Palu,14/08/1979,Karyawan,Rp1.000.000,4,1,1,0,1,1
Latif Wacana,320007738011195000,Merauke,09/08/1972,Wiraswasta,Rp2.000.000,4,0,0,1,2,1
Jagapati Wibowo,320006039973669000,Pontianak,08/07/1984,Wiraswasta,Rp500.000,5,0,2,2,0,1
Rella Nainggolan,320070870354251000,Manokwari,14/10/1996,Tidak Bekerja,Rp0,4,0,3,0,0,1
Dian Mardiya,320015352384530000,Manokwari,09/09/1971,Tidak Bekerja,Rp0,5,1,0,2,1,1
Darmana Ariya,320042124803182000,Manado,21/12/1956,Petani,Rp500.000,4,0,2,0,0,2
Latif Siotang,320079848360827000,Bandung,15/11/1989,Buruh,Rp700.000,1,1,0,0,0,0
Irwan Maendra,320008966202404000,Palembang,21/01/1986,Buruh,Rp500.000,5,0,2,1,1,1
Cintia Prayoga,320027910856249000,Bengkulu,27/08/1970,Karyawan,Rp1.000.000,5,1,2,1,1,0
Pandu Purnawati,320010583527179000,Padang,12/01/1958,Tidak Bekerja,Rp0,7,0,3,0,2,2
Rati Zulkarnain,320007492232554000,Pekanbaru,26/03/1991,Petani,Rp1.500.000,3,0,0,1,2,0
Tgk Bakiono Prasetya,320054422436190000,Lampung,25/06/1989,Buruh,Rp1.500.000,9,0,3,2,1,2
Puti Ika Ariya,320010370991564000,Bandung,21/03/1988,Wiraswasta,Rp500.000,9,1,2,2,2,1
Ari Idayanto,320010133994098000,Palembang,10/12/1973,Petani,Rp1.500.000,6,0,3,0,1,1
Cut Jessica Raayu,320020909455178000,Palembang,19/05/1976,Wiraswasta,Rp1.000.000,5,1,3,1,0,0
Irnanto Andayani,320033670142312000,Pontianak,13/04/1966,Petani,Rp1.500.000,6,1,2,2,0,1
Nalar Nuraini,320081799533775000,Banjarmasin,03/08/1999,Wiraswasta,Rp2.000.000,3,0,1,1,1,0
Jasmin Budiyanto,320043521058218000,Sorong,15/04/1982,Tidak Bekerja,Rp0,2,0,1,0,0,1
Fitria Abibi,320072065235688000,Bengkulu,25/06/1993,Tidak Bekerja,Rp0,8,1,3,2,1,0
Cindy Putra,320078455366713000,Manokwari,15/01/2000,Buruh,Rp4.000.000,5,1,1,1,1,1
