Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details,P1_Flag,P2_Flag,P3_Flag,P4_Flag,P5_Flag,P6_Flag
Dimaz Narpati,3200546949855990,Bengkulu,01/04/1999,Petani,Rp 439.000,3,0,1,1,0,0,439000,26,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Najwa Saefulla,3200448831520540,Malang,02/03/1955,Petani,Rp 1.500.000,5,1,0,0,2,1,1500000,70,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Alika Marpaung,3200091489579720,Samarinda,04/11/1958,Wiraswasta,Rp 500.000,6,0,3,0,0,2,500000,66,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Jarwa Aryanto,3200470128163000,Bekasi,08/02/1963,Karyawan,Rp 1.000.000,5,0,3,0,0,2,1000000,62,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Rkariman Alima,3200277727505030,Kendari,02/07/1993,Tidak Bekerja,Rp 0,4,0,0,2,0,1,0,32,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Treksa Wulandari,3200284987187260,Semarang,13/07/1973,Tidak Bekerja,Rp 0,5,0,2,0,1,1,0,51,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Umi Suryono,3200186571417150,Pontianak,01/05/1972,Petani,Rp 1.500.000,4,0,1,1,1,1,1500000,53,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Talia Tamba,3200917615656190,Jayapura,08/11/1966,Karyawan,Rp 2.000.000,3,0,0,1,0,1,2000000,58,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5",1,1,0,0,1,0
Enteng Saragi,3200962714087690,Manado,16/12/1986,Buruh,Rp 1.500.000,2,0,0,0,1,0,1500000,38,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Janet Lailasari,3200880842369690,Pekanbaru,14/07/1978,Wiraswasta,Rp 500.000,5,0,1,1,1,1,500000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Sutan Bakiono Dongoran,3200082851413170,Makassar,23/01/1959,Karyawan,Rp 1.500.000,7,0,2,2,2,1,1500000,66,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Tantri Saefulla,3200493144256510,Pontianak,10/11/1987,Karyawan,Rp 2.000.000,1,1,0,0,0,0,2000000,37,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Setya Kuswandari,3200888309185590,Lampung,02/04/1995,Karyawan,Rp 1.500.000,6,0,1,0,2,2,1500000,30,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Karma Padmasari,3200826613866870,Medan,18/05/1960,Wiraswasta,Rp 1.500.000,6,0,2,0,1,2,1500000,65,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Lukita Situmorang,3200282491026930,Palangka Raya,30/03/1995,Petani,Rp 500.000,3,0,0,2,0,0,500000,30,"P1,P2,P4",3,"Score: 3/6 - P1,P2,P4",1,1,0,1,0,0
Edi Wacana,3200496410429200,Medan,04/06/1979,Tidak Bekerja,Rp 0,6,1,3,0,0,1,0,46,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Silvia Megantara,3200296986519790,Palembang,05/08/1978,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Maimuna Wulandari,3200175604178240,Padang,30/08/1995,Tidak Bekerja,Rp 0,3,1,0,0,1,0,0,29,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Banawi Maulana,3200831442045250,Manokwari,12/06/1978,Buruh,Rp 2.000.000,4,1,2,0,0,1,2000000,47,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Cager Winarno,3200969698106590,Depok,09/06/1987,Wiraswasta,Rp 1.500.000,7,0,2,2,2,0,1500000,38,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Opung Andriani,3200476469903640,Semarang,03/01/1993,Petani,Rp 500.000,6,0,2,2,2,0,500000,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Gaiman Oktaviani,3200229359001850,Lampung,15/11/1991,Karyawan,Rp 1.500.000,5,1,1,1,1,1,1500000,33,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Unjani Gunawan,3200401683785080,Gorontalo,23/03/1980,Buruh,Rp 1.000.000,5,0,1,2,0,1,1000000,44,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Kempluk Siombing,3200034030599400,Bengkulu,11/09/1959,Karyawan,Rp 2.000.000,4,1,2,0,1,0,2000000,65,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Martana Dabukke,3200482194295000,Merauke,26/09/1977,Buruh,Rp 1.000.000,5,1,0,2,2,0,1000000,47,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Daru Nasiruddin,3200596316329490,Bengkulu,12/03/1963,Buruh,Rp 2.000.000,5,0,3,0,1,1,2000000,62,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Wira Nugroo,3200076636911440,Semarang,24/01/1980,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,45,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Gabriella Astuti,3200682637782110,Yogyakarta,17/03/1977,Tidak Bekerja,Rp 0,11,1,3,2,2,2,0,48,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Gali Megantara,3200196527068630,Merauke,27/12/1980,Buruh,Rp 1.000.000,9,1,3,1,2,1,1000000,44,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Janet Zulkarnain,3200096303331090,Bengkulu,30/12/1980,Petani,Rp 1.500.000,8,1,0,2,2,2,1500000,44,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Jarwi Wastuti,3200554705705240,Bekasi,24/06/1959,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,66,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Genta Aryani,3200189360262380,Palangka Raya,06/07/1990,Wiraswasta,Rp 1.500.000,6,1,0,2,1,2,1500000,34,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Puti Tina Puspita,3200924653729460,Pekanbaru,19/04/1964,Karyawan,Rp 500.000,5,0,2,1,1,0,500000,61,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Restu Nuraini,3200007907086800,Palangka raya,27/07/1996,Karyawan,Rp 2.000.000,5,0,2,0,0,2,2000000,28,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Cayadi Winarsi,3200555102721760,Balikpapan,09/03/1969,Karyawan,Rp 500.000,8,0,2,2,1,2,500000,56,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Lukman Permata,3200570081745620,Merauke,03/09/2000,Petani,Rp 1.200.000,6,0,3,1,0,1,1200000,24,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Zulfa Firmansya,3200899272062570,Malang,07/06/1980,Wiraswasta,Rp 1.500.000,6,1,0,1,2,2,1500000,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Lidya Maryadi,3200871869141570,Sorong,06/07/1970,Buruh,Rp 1.000.000,7,0,3,2,1,1,1000000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Dariati Maendra,3200931098865070,Samarinda,06/12/1987,Karyawan,Rp 1.500.000,5,0,3,0,0,2,1500000,37,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Ilda Waluyo,3200221095443710,Lampung,19/05/1984,Wiraswasta,Rp 2.000.000,3,0,2,0,0,0,2000000,41,"P1,P2,P3",3,"Score: 3/6 - P1,P2,P3",1,1,1,0,0,0
Silvia Nainggolan,3200225700089520,Semarang,11/02/1989,Tidak Bekerja,Rp 0,6,0,3,1,1,0,0,36,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Jelita Utapea,3200196125337010,Pekanbaru,21/01/1999,Petani,Rp 2.000.000,8,0,3,1,2,2,2000000,26,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Belinda Wibisono.,3200846674461560,Gorontalo,10/10/1971,Karyawan,Rp 2.000.000,6,0,3,2,0,1,2000000,53,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Bagus Wibisono,3200722196564430,Palu,18/03/1970,Tidak Bekerja,Rp 0,6,1,0,2,0,2,0,55,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Galar Usada,3200426309108210,Jambi,01/06/1971,Petani,Rp 1.000.000,8,0,2,2,2,2,1000000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Kemal Tarioran,3200880788218010,Palembang,15/08/1989,Petani,Rp 1.500.000,2,0,0,0,1,0,1500000,35,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Micelle Utapea,3200319973825540,Samarinda,09/12/1974,Karyawan,Rp 2.000.000,6,1,2,1,1,1,2000000,50,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Bala Firmansya,3200510187576350,Malang,09/08/1963,Petani,Rp 500.000,5,0,2,0,2,1,500000,61,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Kacung Irawan,3200116986658400,Jambi,22/02/1990,Karyawan,Rp 1.000.000,5,0,1,2,1,1,1000000,35,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Usyi Assana,3200329463303010,Makassar,19/06/1998,Petani,Rp 2.000.000,4,1,2,1,0,0,2000000,27,"P1,P3",2,"Score: 2/6 - P1,P3",1,0,1,0,0,0
Yuliana Nainggolan,3200028388531920,Palu,17/11/1984,Tidak Bekerja,Rp 0,4,0,1,1,2,0,0,40,"P1,P6",2,"Score: 2/6 - P1,P6",1,0,0,0,0,1
Maimuna Sitompul,3200612849286400,Pekanbaru,17/04/1979,Buruh,Rp 1.500.000,8,1,2,2,1,2,1500000,46,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Balijan Samosir,3200070705117200,Pontianak,16/09/1970,Karyawan,Rp 500.000,6,1,2,1,1,0,500000,54,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Aisya Irawan,3200590650088510,Depok,23/07/1983,Wiraswasta,Rp 1.000.000,2,0,1,0,0,1,1000000,41,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5",1,1,0,0,1,0
Anom Uwais,3200024247634470,Makassar,05/12/1991,Karyawan,Rp 500.000,6,0,2,1,1,1,500000,33,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Jane Ardianto,3200088718699860,Padang,21/03/1990,Karyawan,Rp 1.000.000,6,0,3,2,0,0,1000000,35,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4",1,0,1,1,0,0
Galar Mansur,3200472970625510,Pekanbaru,21/02/1979,Buruh,Rp 1.500.000,4,0,1,0,1,1,1500000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Puput Rajasa,3200173472918680,Malang,28/04/1998,Wiraswasta,Rp 1.000.000,5,0,0,2,0,2,1000000,27,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Ana Laksmiwati,3200032204229500,Pontianak,05/06/1970,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,55,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Garda Simbolon,3200483277009130,Palu,02/04/1981,Buruh,Rp 1.000.000,4,0,2,2,0,0,1000000,44,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4",1,0,1,1,0,0
Zulaika Aryanto.,3200587637551430,Bogor,03/06/1973,Petani,Rp 1.000.000,5,0,0,2,0,2,1000000,52,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Luwar Yolanda.,3200539443782450,Lampung,16/06/1991,Karyawan,Rp 2.000.000,4,1,2,0,0,1,2000000,34,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Puti Gasti Sitorus,3200792805178610,Merauke,29/04/1982,Karyawan,Rp 1.500.000,5,1,0,1,2,0,1500000,43,"P1,P6",2,"Score: 2/6 - P1,P6",1,0,0,0,0,1
Baktiono Tamrin,3200006704917870,Jayapura,12/09/1969,Karyawan,Rp 2.000.000,6,1,3,0,0,1,2000000,55,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Kambali Mayasari,3200237104555230,Bekasi,11/08/1970,Karyawan,Rp 1.500.000,7,1,2,2,1,1,1500000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Danu Winarno,3200773918368040,Bekasi,13/07/1979,Petani,Rp 2.000.000,4,1,0,0,2,1,2000000,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Tina Siombing,3200919202484560,Manado,17/11/1981,Tidak Bekerja,Rp 0,4,0,1,2,1,0,0,43,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Asirwada Kuswoyo,3200853451348900,Padang,16/10/1975,Tidak Bekerja,Rp 0,7,0,3,0,2,2,0,49,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Racel Setiawan,3200826512206020,Banjarmasin,23/01/1975,Petani,Rp 1.500.000,8,0,3,2,1,2,1500000,50,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Nurul Wibowo,3200561907132560,Semarang,15/08/1965,Tidak Bekerja,Rp 0,6,1,3,0,1,1,0,59,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Nadine Idayanto,3200289513127240,Manado,22/01/1988,Tidak Bekerja,Rp 0,7,1,3,2,1,0,0,37,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Tami Marpaung,3200426211477060,Malang,29/11/1991,Buruh,Rp 1.000.000,5,0,2,2,0,1,1000000,33,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Betania Widiastuti,3200427796917930,Banjarmasin,13/01/1992,Wiraswasta,Rp 1.500.000,5,0,0,2,0,2,1500000,33,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Sutan Danuja Nasiruddin,3200278610280940,Medan,27/04/1976,Tidak Bekerja,Rp 0,7,0,3,1,1,2,0,49,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Empluk Gunarto,3200119269104730,Palu,02/07/1990,Tidak Bekerja,Rp 0,4,1,2,0,1,0,0,35,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Tasdik Narpati,3200489152850090,Kendari,23/02/1979,Wiraswasta,Rp 1.500.000,3,0,0,1,1,1,1500000,46,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6",1,1,0,0,1,1
Vino Sitorus,3200419330892710,Malang,09/01/1987,Karyawan,Rp 1.000.000,7,1,2,0,2,1,1000000,38,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Jabal Marbun,3200017037246120,Manokwari,22/06/1997,Petani,Rp 1.500.000,5,1,0,2,1,0,1500000,28,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Jelita Mandasari,3200532804035390,Malang,15/06/1974,Karyawan,Rp 2.000.000,2,1,1,0,0,0,2000000,51,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Rati Tamrin,3200254380987220,Balikpapan,27/11/1955,Buruh,Rp 1.500.000,6,1,2,0,1,2,1500000,69,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Siska Winarsi,3200152147081270,Jayapura,16/11/1982,Wiraswasta,Rp 2.000.000,4,0,0,2,1,1,2000000,42,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Nova Kusumo.,3200549774594000,Balikpapan,24/07/1981,Petani,Rp 1.000.000,7,0,2,2,0,2,1000000,43,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Kajen Widodo,3200670472720520,Medan,03/09/1974,Karyawan,Rp 500.000,4,1,0,1,1,0,500000,50,"P1,P6",2,"Score: 2/6 - P1,P6",1,0,0,0,0,1
Teddy Firgantoro,3200174541933290,Jambi,26/02/1983,Tidak Bekerja,Rp 0,5,0,0,2,1,2,0,42,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Galar Puspasari,3200703580132720,Bengkulu,16/12/1997,Wiraswasta,Rp 2.000.000,6,0,3,1,0,2,2000000,27,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Rmila Budiman,3200361311719100,Bandung,17/02/1977,Wiraswasta,Rp 1.500.000,8,1,2,2,1,1,1500000,48,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Intan Simanjuntak,3200381045595980,Padang,29/11/1995,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,29,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Agnes Yuniar,3200971029855010,Pontianak,18/07/1984,Tidak Bekerja,Rp 0,5,1,0,2,2,0,0,40,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Vera Marpaung,3200630986338190,Bogor,02/03/1987,Wiraswasta,Rp 1.000.000,6,1,0,0,2,2,1000000,38,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Zalindra Laksmiwati,3200260825716250,Samarinda,25/03/1970,Buruh,Rp 1.000.000,3,0,0,0,1,1,1000000,55,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6",1,1,0,0,1,1
Janet Salaudin,3200739762458910,Lampung,22/07/1956,Wiraswasta,Rp 1.500.000,8,0,2,1,2,2,1500000,68,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Limar Sinaga,3200694825518200,Jambi,16/01/1963,Karyawan,Rp 2.000.000,5,1,1,1,1,0,2000000,62,"P1,P6",2,"Score: 2/6 - P1,P6",1,0,0,0,0,1
Irfan Sudiati,3200379506262920,Palembang,19/09/1978,Wiraswasta,Rp 2.000.000,9,1,3,2,0,2,2000000,46,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Bakiman Idayat,3200478656445560,Pekanbaru,10/08/1988,Petani,Rp 2.000.000,7,1,3,2,0,1,2000000,36,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Nilam Ardiansya,3200897460171450,Malang,07/08/1980,Buruh,Rp 1.500.000,5,1,0,2,1,1,1500000,44,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Lalita Firmansya,3200150054786440,Manokwari,27/06/1974,Buruh,Rp 2.000.000,9,0,2,2,2,2,2000000,51,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Marwata Narpati,3200052041951510,Pekanbaru,20/06/1955,Karyawan,Rp 500.000,3,1,0,0,1,1,500000,70,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6",1,1,0,0,1,1
Taufan Wacana,3200322124472600,Malang,10/10/1972,Petani,Rp 1.000.000,5,0,2,1,0,1,1000000,52,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Tina Melani,3200336189923660,Surabaya,18/12/1984,Petani,Rp 2.000.000,5,1,3,0,0,1,2000000,40,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Zizi Anggraini,3200260614516870,Banjarmasin,08/08/1998,Buruh,Rp 2.000.000,7,1,3,2,0,1,2000000,26,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5",1,0,1,1,1,0
Jono Nasyia,3200186740818590,Gorontalo,13/01/1965,Buruh,Rp 1.000.000,5,1,3,0,0,1,1000000,60,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Gani Kusumo,3200180150858310,Bogor,25/06/1986,Karyawan,Rp 2.000.000,8,1,3,1,2,1,2000000,39,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Dia Natsir,3200851981760060,Gorontalo,19/12/1975,Tidak Bekerja,Rp 0,5,1,1,1,0,2,0,49,"P1,P5",2,"Score: 2/6 - P1,P5",1,0,0,0,1,0
Klukman Siotang,3200469615866970,Jambi,19/04/1963,Wiraswasta,Rp 500.000,6,1,1,2,2,0,500000,62,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Ida Firgantoro,3200766978427740,Palu,26/01/1978,Karyawan,Rp 2.000.000,6,0,1,0,2,2,2000000,47,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Jasmin Gunawan,3200855573672850,Surabaya,14/06/1992,Karyawan,Rp 1.500.000,8,1,3,2,1,0,1500000,33,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Jarwi Permadi,3200015902804790,Surabaya,04/01/1961,Petani,Rp 1.500.000,8,1,2,1,2,1,1500000,64,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Elvina Nurdiyanti,3200564451444210,Medan,01/07/1964,Petani,Rp 2.000.000,7,0,3,0,1,2,2000000,61,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Gabriella Marpaung,3200520650746720,Balikpapan,28/04/1955,Buruh,Rp 2.000.000,6,0,3,0,0,2,2000000,70,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Tgkirsad Mansur,3200074916106610,Palembang,30/05/1956,Tidak Bekerja,Rp 0,6,0,3,2,0,0,0,69,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4",1,0,1,1,0,0
Puput Nasiruddin,3200473998606910,Bogor,04/08/1961,Buruh,Rp 1.500.000,3,0,0,1,0,2,1500000,63,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5",1,1,0,0,1,0
Karima Tamrin,3200737720972140,Kendari,12/05/1986,Buruh,Rp 1.000.000,6,0,3,0,2,1,1000000,39,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Padmi Santoso,3200650188597330,Bogor,05/06/1992,Tidak Bekerja,Rp 0,4,0,2,1,1,0,0,33,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Fara Ardiansya,3200260195677020,Pontianak,07/08/1963,Buruh,Rp 500.000,2,0,1,0,0,0,500000,61,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Lalita Wayudin,3200682763689640,Jambi,08/04/1987,Karyawan,Rp 1.500.000,6,0,3,2,1,0,1500000,38,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Karima Budiman,3200107477933560,Balikpapan,07/07/1972,Wiraswasta,Rp 1.500.000,5,0,1,2,1,1,1500000,52,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Luung Andriani,3200713845851050,Banjarmasin,06/06/1984,Wiraswasta,Rp 1.000.000,4,0,0,2,1,1,1000000,41,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
Yoga Kusumo,3200987898278370,Pekanbaru,13/08/1957,Tidak Bekerja,Rp 0,6,0,3,1,1,1,0,67,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Paris Artati,3200575324898330,Kendari,09/10/1963,Wiraswasta,Rp 2.000.000,5,1,0,2,2,0,2000000,61,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Kamila Sudiati,3200582691934250,Manokwari,08/08/1977,Buruh,Rp 1.500.000,0,0,0,0,0,0,1500000,47,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Janet Safitri,3200470167998140,Gorontalo,19/02/1995,Karyawan,Rp 1.000.000,5,1,2,0,2,0,1000000,30,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6",1,0,1,0,0,1
Tgkpurwanto Siombing,3200773037512880,Semarang,17/12/1974,Petani,Rp 1.000.000,3,1,1,0,1,0,1000000,50,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Capa Abibi,3200417902724810,Gorontalo,13/09/1985,Wiraswasta,Rp 2.000.000,3,0,0,2,0,1,2000000,39,"P1,P2,P4,P5",4,"Score: 4/6 - P1,P2,P4,P5",1,1,0,1,1,0
Sara Maulana,3200262923115320,Palu,16/02/1986,Buruh,Rp 500.000,2,0,0,0,1,0,500000,39,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Puti Mala Suwarno,3200895129145420,Jambi,22/01/1974,Karyawan,Rp 2.000.000,3,0,1,1,1,0,2000000,51,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Jamalia Mandasari,3200064884362910,Medan,24/12/1984,Petani,Rp 500.000,7,1,2,0,2,1,500000,40,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Ari Raayu,3200982270405940,Jambi,25/03/1989,Wiraswasta,Rp 500.000,8,1,3,1,2,1,500000,36,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
